Date,Borough
March 2015,Queens
March 2015,Brooklyn
March 2015,The Bronx
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,The Bronx
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Queens
March 2015,Queens
March 2015,The Bronx
March 2015,Manhattan
March 2015,Manhattan
March 2015,The Bronx
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,The Bronx
March 2015,The Bronx
March 2015,The Bronx
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
